i,P[|B_i| >= 1]
322,0.241400000000000003463895836830488406121730804443359375000000
323,0.239449999999999996180832795289461500942707061767578125000000
324,0.237210000000000004183320356787589844316244125366210937500000
325,0.235389999999999988133936312806326895952224731445312500000000
326,0.233720000000000011075584893660561647266149520874023437500000
327,0.231740000000000001545430450278217904269695281982421875000000
328,0.229899999999999993249844010279048234224319458007812500000000
329,0.228170000000000011697309787450649309903383255004882812500000
330,0.226179999999999992166266338244895450770854949951171875000000
331,0.224500000000000005107025913275720085948705673217773437500000
332,0.222789999999999988045118470836314372718334197998046875000000
333,0.220860000000000000763833440942107699811458587646484375000000
334,0.219109999999999999209521206466888543218374252319335937500000
335,0.217379999999999989901411368009576108306646347045898437500000
336,0.215510000000000007114309141798003111034631729125976562500000
337,0.213930000000000009041656312547274865210056304931640625000000
338,0.212049999999999988498089464883378241211175918579101562500000
339,0.210350000000000009192646643896296154707670211791992187500000
340,0.208760000000000001119104808822157792747020721435546875000000
341,0.206839999999999996083133169122447725385427474975585937500000
342,0.205229999999999995763388938030402641743421554565429687500000
343,0.203529999999999988702370501414407044649124145507812500000000
344,0.201889999999999986135534868481045123189687728881835937500000
345,0.200069999999999997841726440128695685416460037231445312500000
346,0.198459999999999997521982209036650601774454116821289062500000
347,0.196959999999999996189714579486462753266096115112304687500000
348,0.195280000000000009130474154517287388443946838378906250000000
349,0.193840000000000012292389328649733215570449829101562500000000
350,0.192120000000000012985168496015830896794795989990234375000000
351,0.190289999999999986934895446211157832294702529907226562500000
352,0.188879999999999992343902022184920497238636016845703125000000
353,0.187359999999999998765431996616825927048921585083007812500000
354,0.185700000000000003952393967665557283908128738403320312500000
355,0.184210000000000012621015343938779551535844802856445312500000
356,0.182889999999999997015720509807579219341278076171875000000000
357,0.181199999999999999955591079014993738383054733276367187500000
358,0.179650000000000004130029651605582330375909805297851562500000
359,0.178050000000000013811174426336947362869977951049804687500000
360,0.176719999999999988204990586382336914539337158203125000000000
361,0.175300000000000011368683772161602973937988281250000000000000
362,0.173940000000000011270984145994589198380708694458007812500000
363,0.172589999999999993418597910022072028368711471557617187500000
364,0.171289999999999997815081087537691928446292877197265625000000
365,0.169809999999999988729015854005410801619291305541992187500000
366,0.168390000000000011892709039784676861017942428588867187500000
367,0.166959999999999997299937604111619293689727783203125000000000
368,0.165839999999999987423393577046226710081100463867187500000000
369,0.164479999999999987325693950879212934523820877075195312500000
370,0.163000000000000005995204332975845318287611007690429687500000
371,0.161709999999999992637000900685961823910474777221679687500000
372,0.160269999999999995798916074818407651036977767944335937500000
373,0.159069999999999989181986848052474670112133026123046875000000
374,0.157650000000000012345680033831740729510784149169921875000000
375,0.156400000000000011235457009206584189087152481079101562500000
376,0.155180000000000012372325386422744486480951309204101562500000
377,0.153730000000000005533351554731780197471380233764648437500000
378,0.152499999999999996669330926124530378729104995727539062500000
379,0.151299999999999990052401699358597397804260253906250000000000
380,0.150090000000000001190159082398167811334133148193359375000000
381,0.148939999999999989066523653491458389908075332641601562500000
382,0.147730000000000000204281036531028803437948226928710937500000
383,0.146419999999999994599875208223238587379455566406250000000000
384,0.145059999999999994502175582056224811822175979614257812500000
385,0.143749999999999988897769753748434595763683319091796875000000
386,0.142339999999999994306776329722197260707616806030273437500000
387,0.140999999999999986455279099573090206831693649291992187500000
388,0.139729999999999993098853678930026944726705551147460937500000
389,0.138500000000000011990408665951690636575222015380859375000000
390,0.137300000000000005373479439185757655650377273559570312500000
391,0.136209999999999997744026813961681909859180450439453125000000
392,0.134899999999999992139620985653891693800687789916992187500000
393,0.133950000000000013500311979441903531551361083984375000000000
394,0.132810000000000011377565556358604226261377334594726562500000
395,0.131480000000000013526957332032907288521528244018554687500000
396,0.130230000000000012416734307407750748097896575927734375000000
397,0.129200000000000009281464485866308677941560745239257812500000
398,0.128039999999999987156940051136189140379428863525390625000000
399,0.126840000000000008295586439999169670045375823974609375000000
400,0.125709999999999988418153407110366970300674438476562500000000
401,0.124630000000000004667377595524158095940947532653808593750000
402,0.123490000000000002544631172440858790650963783264160156250000
403,0.122340000000000004298783551348606124520301818847656250000000
404,0.121190000000000006052935930256353458389639854431152343750000
405,0.120310000000000000275335310107038822025060653686523437500000
406,0.119270000000000001016964290556643391028046607971191406250000
407,0.118300000000000002375877272697834996506571769714355468750000
408,0.117290000000000005364597654988756403326988220214843750000000
409,0.116180000000000005488942633746773935854434967041015625000000
410,0.115269999999999997464250611756142461672425270080566406250000
411,0.114369999999999999440447595588921103626489639282226562500000
412,0.113280000000000005688782778179302113130688667297363281250000
413,0.112350000000000005417888360170763917267322540283203125000000
414,0.111290000000000000035527136788005009293556213378906250000000
415,0.110350000000000003641531520770513452589511871337890625000000
416,0.109310000000000004383160501220118021592497825622558593750000
417,0.108350000000000001865174681370262987911701202392578125000000
418,0.107380000000000003224087663511454593390226364135742187500000
419,0.106539999999999995816679643212410155683755874633789062500000
420,0.105560000000000001052491427344648400321602821350097656250000
421,0.104580000000000006288303211476886644959449768066406250000000
422,0.103629999999999999893418589635984972119331359863281250000000
423,0.102699999999999999622524171627446776255965232849121093750000
424,0.101699999999999998734345751927321543917059898376464843750000
425,0.100790000000000004587441537751146825030446052551269531250000
426,0.099879999999999996562749515760515350848436355590820312500000
427,0.098960000000000006292744103575387271121144294738769531250000
428,0.098119999999999998885336083276342833414673805236816406250000
429,0.097339999999999995972110866659932071343064308166503906250000
430,0.096470000000000000195399252334027551114559173583984375000000
431,0.095640000000000002788880237858393229544162750244140625000000
432,0.094589999999999993529620212484587682411074638366699218750000
433,0.093750000000000000000000000000000000000000000000000000000000
434,0.092960000000000000963673585374635877087712287902832031250000
435,0.092160000000000005804245972740318393334746360778808593750000
436,0.091370000000000006767919558114954270422458648681640625000000
437,0.090630000000000002224886941348813707008957862854003906250000
438,0.089840000000000003188560526723449584096670150756835937500000
439,0.089050000000000004152234112098085461184382438659667968750000
440,0.088179999999999994497734689957724185660481452941894531250000
441,0.087290000000000006474820679613912943750619888305664062500000
442,0.086419999999999996820321257473551668226718902587890625000000
443,0.085529999999999994919619439315283671021461486816406250000000
444,0.084940000000000001612043831755727296695113182067871093750000
445,0.084190000000000000945910016980633372440934181213378906250000
446,0.083500000000000004773959005888173123821616172790527343750000
447,0.082799999999999998601118988972302759066224098205566406250000
448,0.082000000000000003441691376337985275313258171081542968750000
449,0.081290000000000001145750161413161549717187881469726562500000
450,0.080680000000000001714184350021241698414087295532226562500000
451,0.079860000000000000430766533554560737684369087219238281250000
452,0.079159999999999994257926516638690372928977012634277343750000
453,0.078509999999999996456168105396500322967767715454101562500000
454,0.077679999999999999049649090920866001397371292114257812500000
455,0.076950000000000004507505479978135554119944572448730468750000
456,0.076259999999999994457766661071218550205230712890625000000000
457,0.075490000000000001545430450278217904269695281982421875000000
458,0.074719999999999994755306431670760503038763999938964843750000
459,0.074090000000000003077538224260933930054306983947753906250000
460,0.073260000000000005671019209785299608483910560607910156250000
