n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
105,2,66.484200,13.445500,2547.966300,38.515800,30.645400,0.633183,0.128052,0.231108,0.366817,0.291861
106,2,67.224700,13.642300,2589.054100,38.775300,30.903000,0.634195,0.128701,0.230425,0.365805,0.291538
107,2,67.808600,13.768200,2639.124000,39.191400,31.232900,0.633725,0.128675,0.230511,0.366275,0.291896
108,2,68.429500,13.944000,2692.075200,39.570500,31.591400,0.633606,0.129111,0.230802,0.366394,0.292513
109,2,69.034300,14.009600,2742.120900,39.965700,31.812500,0.633342,0.128528,0.230799,0.366658,0.291858
110,2,69.715900,14.146400,2790.592800,40.284100,32.097500,0.633781,0.128604,0.230628,0.366219,0.291795
111,2,70.324800,14.281100,2843.325600,40.675200,32.436100,0.633557,0.128659,0.230771,0.366443,0.292217
112,2,71.008200,14.381100,2890.673500,40.991800,32.691900,0.634002,0.128403,0.230443,0.365998,0.291892
113,2,71.589500,14.565800,2948.951500,41.410500,33.001100,0.633535,0.128901,0.230946,0.366465,0.292045
114,2,72.238900,14.632700,2998.806800,41.761100,33.213500,0.633675,0.128357,0.230748,0.366325,0.291346
115,2,72.887400,14.753300,3049.323700,42.112600,33.546400,0.633803,0.128290,0.230573,0.366197,0.291708
116,2,73.525000,14.947600,3103.464600,42.475000,33.840100,0.633836,0.128859,0.230638,0.366164,0.291725
117,2,74.118900,15.107100,3159.736500,42.881100,34.189200,0.633495,0.129121,0.230823,0.366505,0.292215
118,2,74.749300,15.178500,3215.345600,43.250700,34.453300,0.633469,0.128631,0.230921,0.366531,0.291977
119,2,75.434300,15.335000,3265.278500,43.565700,34.717700,0.633902,0.128866,0.230582,0.366098,0.291745
120,2,76.044200,15.453400,3323.989500,43.955800,35.031000,0.633702,0.128778,0.230833,0.366298,0.291925
121,2,76.651900,15.614300,3381.484800,44.348100,35.363200,0.633487,0.129044,0.230960,0.366513,0.292258
122,2,77.327100,15.661700,3432.846500,44.672900,35.590200,0.633829,0.128375,0.230640,0.366171,0.291723
123,2,77.877900,15.810300,3498.009000,45.122100,35.911600,0.633154,0.128539,0.231212,0.366846,0.291964
124,2,78.564800,15.966900,3549.591600,45.435200,36.181200,0.633587,0.128765,0.230853,0.366413,0.291784
125,2,79.224600,16.074300,3604.099500,45.775400,36.498300,0.633797,0.128594,0.230662,0.366203,0.291986
126,2,79.846200,16.252300,3661.677000,46.153800,36.756700,0.633700,0.128987,0.230642,0.366300,0.291720
127,2,80.455900,16.374400,3725.729500,46.544100,37.086200,0.633511,0.128932,0.230996,0.366489,0.292017
128,2,81.099000,16.475600,3781.890500,46.901000,37.371800,0.633586,0.128716,0.230828,0.366414,0.291967
129,2,81.621000,16.641400,3851.931900,47.379000,37.671500,0.632721,0.129003,0.231472,0.367279,0.292027
130,2,82.400500,16.756500,3897.548700,47.599500,37.889900,0.633850,0.128896,0.230624,0.366150,0.291461
131,2,82.995700,16.863000,3961.253500,48.004300,38.211500,0.633555,0.128725,0.230829,0.366445,0.291691
132,2,83.606800,17.090600,4027.164300,48.393200,38.603700,0.633385,0.129474,0.231127,0.366615,0.292452
133,2,84.243100,17.141500,4087.145100,48.756900,38.849400,0.633407,0.128883,0.231056,0.366593,0.292101
134,2,84.908300,17.249100,4143.378400,49.091700,39.066200,0.633644,0.128725,0.230752,0.366356,0.291539
135,2,85.483500,17.382100,4213.906400,49.516500,39.443000,0.633211,0.128756,0.231216,0.366789,0.292170
136,2,86.066900,17.476300,4282.442200,49.933100,39.728200,0.632845,0.128502,0.231533,0.367155,0.292119
137,2,86.803500,17.659800,4333.881600,50.196500,39.995900,0.633602,0.128904,0.230906,0.366398,0.291941
138,2,87.401100,17.784900,4402.025500,50.598900,40.271300,0.633341,0.128876,0.231150,0.366659,0.291821
139,2,88.002300,17.951700,4469.017900,50.997700,40.618100,0.633110,0.129149,0.231304,0.366890,0.292217
140,2,88.720300,18.055100,4521.764200,51.279700,40.832700,0.633716,0.128965,0.230702,0.366284,0.291662
141,2,89.294500,18.144600,4593.652900,51.705500,41.166700,0.633294,0.128685,0.231057,0.366706,0.291962
142,2,89.856200,18.279800,4665.988100,52.143800,41.517800,0.632790,0.128731,0.231402,0.367210,0.292379
143,2,90.546500,18.433200,4725.583800,52.453500,41.755000,0.633192,0.128903,0.231091,0.366808,0.291993
144,2,91.176000,18.566200,4796.703600,52.824000,42.061400,0.633167,0.128932,0.231323,0.366833,0.292093
145,2,91.933300,18.728600,4847.526700,53.066700,42.288400,0.634023,0.129163,0.230560,0.365977,0.291644
146,2,92.491000,18.865100,4925.813900,53.509000,42.562700,0.633500,0.129213,0.231085,0.366500,0.291525
147,2,93.049700,18.999600,5001.200500,53.950300,42.983300,0.632991,0.129249,0.231441,0.367009,0.292403
148,2,93.732200,19.018300,5061.394100,54.267800,43.191600,0.633326,0.128502,0.231072,0.366674,0.291835
149,2,94.370000,19.208700,5131.249900,54.630000,43.505900,0.633356,0.128917,0.231127,0.366644,0.291986
